channel,stage,attributed_conversions,percentage
Offline,Lead,21.9850,29.7
OrganicSearch,Lead,19.1793,25.9
Direct,Lead,11.6115,15.7
PMaxPaidSearch,Lead,8.1865,11.1
Local,Lead,6.8404,9.2
PaidSocial,Lead,3.8235,5.2
Referral,Lead,1.3382,1.8
BrandedPaidSearch,Lead,0.9559,1.3
Social,Lead,0.0797,0.1
(Other),Lead,0.0000,0.0
GenericPaidSearch,Lead,0.0000,0.0
Offline,Enquiry,19.8468,39.7
OrganicSearch,Enquiry,9.5941,19.2
Direct,Enquiry,7.6285,15.3
Local,Enquiry,5.4240,10.8
PMaxPaidSearch,Enquiry,5.0042,10.0
Referral,Enquiry,1.2081,2.4
PaidSocial,Enquiry,0.8629,1.7
Social,Enquiry,0.4315,0.9
BrandedPaidSearch,Enquiry,0.0000,0.0
Offline,Application,20.8452,74.4
Local,Application,2.8425,10.2
Direct,Application,1.9190,6.9
PMaxPaidSearch,Application,1.2089,4.3
OrganicSearch,Application,1.1844,4.2
BrandedPaidSearch,Application,0.0000,0.0
PaidSocial,Application,0.0000,0.0
Referral,Application,0.0000,0.0
Social,Application,0.0000,0.0
Offline,Offer,2.0000,66.7
Direct,Offer,1.0000,33.3
BrandedPaidSearch,Offer,0.0000,0.0
PMaxPaidSearch,Offer,0.0000,0.0
PaidSocial,Offer,0.0000,0.0
Referral,Offer,0.0000,0.0
Social,Offer,0.0000,0.0
OrganicSearch,Offer,0.0000,0.0
Local,Offer,0.0000,0.0
Offline,Enrolment,1.0000,100.0
Direct,Enrolment,0.0000,0.0
BrandedPaidSearch,Enrolment,0.0000,0.0
PMaxPaidSearch,Enrolment,0.0000,0.0
PaidSocial,Enrolment,0.0000,0.0
Referral,Enrolment,0.0000,0.0
Social,Enrolment,0.0000,0.0
OrganicSearch,Enrolment,0.0000,0.0
Local,Enrolment,0.0000,0.0
