campaign_name,ad_name,clicks,impressions,spend,click_share
FPD-HK-Lead-Web-VOH-Dec25,HK-Lead Gen-WebConv--VOH_CarouselA_26Apr,22,2516,41.58,0.1117
FPD-HK-Lead-Web-VOH-Dec25,HK-Lead Gen-WebConv--VOH_StaticA_26Apr,60,7006,101.02,0.3046
FPD-HK-Lead-Web-VOH-Dec25,HK-Lead Gen-WebConv--VOH_StaticB_26Apr,1,116,1.56,0.0051
FPD-HK-Lead-Web-VOH-Dec25,HK-Lead Gen-WebConv--VOH_StaticC_26Apr,0,137,2.7,0.0
FPD-HK-Lead-Web-VOH-Dec25,HK-Lead Gen-WebConv--VOH_VideoA_26Apr,114,11557,187.62,0.5787
FPD-JP-Lead-Web-VOH-Dec25,JP-Lead Gen-WebConv--VOH_CarouselA_26Apr,72,5773,151.68,0.129
FPD-JP-Lead-Web-VOH-Dec25,JP-Lead Gen-WebConv--VOH_CarouselB_26Apr,0,55,1.63,0.0
FPD-JP-Lead-Web-VOH-Dec25,JP-Lead Gen-WebConv--VOH_StaticA_26Apr,232,25772,392.44,0.4158
FPD-JP-Lead-Web-VOH-Dec25,JP-Lead Gen-WebConv--VOH_StaticB_26Apr,3,431,14.1,0.0054
FPD-JP-Lead-Web-VOH-Dec25,JP-Lead Gen-WebConv--VOH_StaticC_26Apr,0,107,4.54,0.0
FPD-JP-Lead-Web-VOH-Dec25,JP-Lead Gen-WebConv--VOH_StaticD_26Apr,3,207,4.89,0.0054
FPD-JP-Lead-Web-VOH-Dec25,JP-Lead Gen-WebConv--VOH_VideoA_26Apr,248,19686,431.55,0.4444
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,SG-Lead Gen-WebConv--PrePrep_StaticA_26Apr,108,3171,166.33,0.0624
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,SG-Lead Gen-WebConv--PrePrep_StaticB_26Apr,72,1605,95.0,0.0416
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,SG-Lead Gen-WebConv--PrePrep_VideoA_26Apr,1168,18378,1755.67,0.6751
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,SG-Lead Gen-WebConv-EY_CarouselA_Jun26,60,2095,80.26,0.0347
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,SG-Lead Gen-WebConv-EY_StaticA_Jun26,38,879,68.66,0.022
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,SG-Lead Gen-WebConv-EY_StaticB_Jun26,12,191,16.23,0.0069
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,SG-Lead Gen-WebConv-EY_StaticC_Jun26,0,115,8.95,0.0
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,SG-Lead Gen-WebConv-EY_StaticD_Jun26,60,1523,100.39,0.0347
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,SG-Lead Gen-WebConv-EY_StaticE_Jun26,1,25,0.71,0.0006
FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,SG-Lead Gen-WebConv-EY_VideoA_Jun26,211,11030,387.72,0.122
FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,SG-Lead Gen-WebConv-ALevelVOH_StaticA_Jan26,279,27665,669.42,0.2489
FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,SG-Lead Gen-WebConv-ALevelVOH_StaticB_Jan26,226,19947,485.36,0.2016
FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,SG-Lead Gen-WebConv-ALevelVOH_VideoC_Jan26,616,31295,844.52,0.5495
FPD-SG-LeadGen-Web-AO-VOH - 2026 March,SG-Lead Gen-WebConv--VOH_CarouselC_26Apr,19,1434,50.1,0.0388
FPD-SG-LeadGen-Web-AO-VOH - 2026 March,SG-Lead Gen-WebConv--VOH_StaticA_26Apr,292,39854,1291.26,0.5959
FPD-SG-LeadGen-Web-AO-VOH - 2026 March,SG-Lead Gen-WebConv--VOH_StaticB_26Apr,179,26026,760.18,0.3653
FPD-SG-LeadGen-WebConv-AO-BookATour-2025,SG-Lead Gen-AO-Be-You,215,39192,542.0,0.2146
FPD-SG-LeadGen-WebConv-AO-BookATour-2025,SG-Lead Gen-AO-JP Testimonials,292,33366,292.72,0.2914
FPD-SG-LeadGen-WebConv-AO-BookATour-2025,SG-Lead Gen-AO-Video_Nov2025,495,47933,1150.98,0.494
FPD-UK-Lead-Web-VOH-Dec25,Static-UKJPHK-AO-Make an enquiry,0,6,0.18,0.0
FPD-UK-Lead-Web-VOH-Dec25,UK-Lead Gen-WebConv--VOH_CarouselA_26Apr,11,1051,22.53,0.0102
FPD-UK-Lead-Web-VOH-Dec25,UK-Lead Gen-WebConv--VOH_CarouselC_26Apr,0,42,1.01,0.0
FPD-UK-Lead-Web-VOH-Dec25,UK-Lead Gen-WebConv--VOH_StaticA_26Apr,271,16847,392.64,0.2514
FPD-UK-Lead-Web-VOH-Dec25,UK-Lead Gen-WebConv--VOH_StaticB_26Apr,4,150,3.51,0.0037
FPD-UK-Lead-Web-VOH-Dec25,UK-Lead Gen-WebConv--VOH_StaticC_26Apr,0,74,1.54,0.0
FPD-UK-Lead-Web-VOH-Dec25,UK-Lead Gen-WebConv--VOH_VideoA_26Apr,792,50578,1068.42,0.7347
